solver_name,6410,6399,5035,6199,5044,6408,5493,5040,6411,6405,5036,3774,6200,6406,5492,,,max,min,mean,median,std
GenGreedy-HighInt,-15,30.8988764044944,23.4567901234568,14.9732620320856,169.620253164557,73.8317757009346,33.1428571428571,134.188034188034,-21.5384615384615,-19.1489361702128,138.135593220339,48.4276729559748,7.58293838862559,213.559322033898,47.4358974358974,,,213.559322033898,-21.5384615384615,58.6377250054987,33.1428571428571,72.6429502881959
GenGreedy-LowInt,-15,7.30337078651685,23.4567901234568,14.9732620320856,46.2025316455696,45.7943925233645,16,115.384615384615,-21.5384615384615,-19.1489361702128,86.4406779661017,20.7547169811321,7.58293838862559,58.4745762711864,27.5641025641026,,,115.384615384615,-21.5384615384615,27.6163051305388,20.7547169811321,38.1577149034509
GreedyLength-HighInt,-31.6666666666667,26.4044943820225,23.4567901234568,11.2299465240642,168.987341772152,72.8971962616822,22.2857142857143,133.333333333333,-24.6153846153846,-31.9148936170213,138.135593220339,38.3647798742138,-21.8009478672986,212.71186440678,47.4358974358974,,,212.71186440678,-31.9148936170213,52.3496705902189,26.4044943820225,77.2582406039253
GreedyLength-LowInt,-31.6666666666667,-16.2921348314607,23.4567901234568,11.2299465240642,46.2025316455696,31.7757009345794,1.71428571428571,115.384615384615,-24.6153846153846,-31.9148936170213,38.135593220339,20.7547169811321,-21.8009478672986,59.3220338983051,24.3589743589744,,,115.384615384615,-31.9148936170213,16.4030107458327,20.7547169811321,40.0596734033056
GreedyRes-HighInt,-33.3333333333333,26.4044943820225,23.4567901234568,11.2299465240642,168.987341772152,72.8971962616822,22.2857142857143,133.333333333333,-33.8461538461538,-31.9148936170213,138.135593220339,38.3647798742138,-21.8009478672986,212.71186440678,47.4358974358974,,,212.71186440678,-33.8461538461538,51.6231748637232,26.4044943820225,78.0772127444329
GreedyRes-LowInt,-33.3333333333333,-16.2921348314607,23.4567901234568,11.2299465240642,46.2025316455696,32.7102803738318,1.71428571428571,115.384615384615,-33.8461538461538,-31.9148936170213,31.3559322033898,20.7547169811321,-21.8009478672986,59.3220338983051,24.3589743589744,,,115.384615384615,-33.8461538461538,15.2868429141571,20.7547169811321,40.7383362652733
Doubling-HighInt-Full,1.66666666666667,40.4494382022472,24.6913580246914,65.24064171123,296.20253164557,132.710280373832,79.4285714285714,311.111111111111,3.07692307692308,13.2978723404255,166.101694915254,132.075471698113,27.9620853080569,470.338983050848,141.666666666667,,,470.338983050848,1.66666666666667,127.068019748014,79.4285714285714,136.289549999119
Doubling-HighInt-Half,-21.6666666666667,26.9662921348315,20.9876543209876,42.2459893048128,295.569620253165,88.785046728972,42.8571428571429,244.444444444444,-24.6153846153846,-9.57446808510638,172.881355932203,112.578616352201,14.6919431279621,309.322033898305,91.025641025641,,,309.322033898305,-24.6153846153846,93.7666174009008,42.8571428571429,112.06321412252
Doubling-LowInt-Full,-8.33333333333333,-3.93258426966292,24.6913580246914,65.24064171123,109.493670886076,91.588785046729,49.1428571428571,141.025641025641,3.07692307692308,13.2978723404255,100.847457627119,56.6037735849057,31.2796208530806,88.135593220339,105.769230769231,,,141.025641025641,-8.33333333333333,57.8618338470834,56.6037735849057,46.984483508163
Doubling-LowInt-Half,-28.3333333333333,-13.4831460674157,20.9876543209876,42.2459893048128,98.7341772151899,43.9252336448598,26.8571428571429,117.094017094017,-24.6153846153846,-9.57446808510638,98.3050847457627,42.1383647798742,15.1658767772512,87.2881355932203,70.5128205128205,,,117.094017094017,-28.3333333333333,39.1498776496466,42.1383647798742,47.2740208612382
